Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
2020-11-26,341.4980942248917,341.5263059557352,339.9463916292498,341.0560913085937,45330900.0,25.0,2.0,48.0,11.0,2020.0
2020-11-27,342.16586890753234,342.4856114964469,340.9809185430137,342.0060119628906,28514100.0,27.0,4.0,48.0,11.0,2020.0
2020-11-28,342.16586890753234,342.4856114964469,340.9809185430137,342.0060119628906,28514100.0,27.0,4.0,48.0,11.0,2020.0
2020-11-29,342.16586890753234,342.4856114964469,340.9809185430137,342.0060119628906,28514100.0,27.0,4.0,48.0,11.0,2020.0
2020-11-30,341.21606382945834,341.488796453104,337.77411670183375,340.491943359375,83872700.0,30.0,0.0,49.0,11.0,2020.0
2020-12-01,343.79279687265546,345.77708921294766,343.190908255927,344.2159729003906,74231400.0,1.0,1.0,49.0,12.0,2020.0
2020-12-02,343.0875380625756,345.100042509178,342.5044762948649,344.940185546875,45927000.0,2.0,2.0,49.0,12.0,2020.0
2020-12-03,344.83671689126413,346.25677476312154,343.7270168574476,344.8461303710937,62882000.0,3.0,3.0,49.0,12.0,2020.0
2020-12-04,345.4385855056391,347.81787109375,345.3445368117168,347.81787109375,50749900.0,4.0,4.0,49.0,12.0,2020.0
2020-12-05,345.4385855056391,347.81787109375,345.3445368117168,347.81787109375,50749900.0,4.0,4.0,49.0,12.0,2020.0
2020-12-06,345.4385855056391,347.81787109375,345.3445368117168,347.81787109375,50749900.0,4.0,4.0,49.0,12.0,2020.0
2020-12-07,347.03728194391715,347.6015453808935,345.81473508016063,347.1031188964844,48944300.0,7.0,0.0,50.0,12.0,2020.0
2020-12-08,345.81474114840245,348.6924531578852,345.76773115267554,348.1188049316406,42458900.0,8.0,1.0,50.0,12.0,2020.0
2020-12-09,348.7865736300896,348.94643060816475,344.1502620717178,344.99664306640625,74098300.0,9.0,2.0,50.0,12.0,2020.0
2020-12-10,343.6047897657889,345.9464504999356,342.7207835650194,344.8837890625,57735400.0,10.0,3.0,50.0,12.0,2020.0
2020-12-11,343.1628047449895,344.89319201435785,341.6205149025769,344.4794006347656,57698600.0,11.0,4.0,50.0,12.0,2020.0
2020-12-12,343.1628047449895,344.89319201435785,341.6205149025769,344.4794006347656,57698600.0,11.0,4.0,50.0,12.0,2020.0
2020-12-13,343.1628047449895,344.89319201435785,341.6205149025769,344.4794006347656,57698600.0,11.0,4.0,50.0,12.0,2020.0
2020-12-14,346.6800238685695,347.77089708214754,342.75841932968655,342.9371032714844,69216200.0,14.0,0.0,51.0,12.0,2020.0
2020-12-15,345.5138515229535,347.5733947753906,344.1220339931997,347.5733947753906,63865300.0,15.0,1.0,51.0,12.0,2020.0
2020-12-16,347.7896488626593,349.04982096422884,346.89622934680017,348.1188049316406,58420500.0,16.0,2.0,51.0,12.0,2020.0
2020-12-17,349.7833733341127,350.27238637413245,348.94637724871234,350.06549072265625,64119500.0,17.0,3.0,51.0,12.0,2020.0
2020-12-18,350.3582772361999,350.5282692128944,346.6277344231327,348.667724609375,136542300.0,18.0,4.0,51.0,12.0,2020.0
2020-12-19,350.3582772361999,350.5282692128944,346.6277344231327,348.667724609375,136542300.0,18.0,4.0,51.0,12.0,2020.0
2020-12-20,350.3582772361999,350.5282692128944,346.6277344231327,348.667724609375,136542300.0,18.0,4.0,51.0,12.0,2020.0
2020-12-21,344.6916393900634,357.43210253413093,341.9149885476664,347.4210510253906,96386700.0,21.0,0.0,52.0,12.0,2020.0
2020-12-22,347.7515859548058,347.864913928726,345.69271757001,346.8354797363281,47949000.0,22.0,1.0,52.0,12.0,2020.0
2020-12-23,347.8177293894569,349.08327322887294,346.81662711615803,347.1471862792969,46201400.0,23.0,2.0,52.0,12.0,2020.0
