Date,S&P500_Close,S&P500_Open,S&P500_High,S&P500_Low,S&P500_Change_%,VIX_Open,VIX_High,VIX_Low,VIX_Close,Crypto_Volume,Crypto_Market_Cap,Year,Month,Day,DayOfWeek,IsWeekend,Market_Cap_STD,SP500_EMA,SP500_SMA_20,SP500_SMA_50,SP500_SMA_100,Lagged_VIX_Close,Lagged_S&P500_Close,Crypto_Market_Cap_%,Crypto_Volume_Change_%
2018-05-26,2721.3,2723.6,2727.4,2715.0,-0.24,12.44,13.52,12.29,13.22,6635538308.761363,253454878962.47745,2018,5,26,5,True,15663528557.670832,2722.2777272575418,2716.6349999999998,2681.25,2690.179,13.22,2721.3,-0.21508254544652106,-28.77911381151822
2018-05-27,2721.3,2723.6,2727.4,2715.0,-0.24,12.44,13.52,12.29,13.22,6175156789.91085,248069132769.5609,2018,5,27,6,True,17276543274.582882,2722.0821818060335,2719.07,2683.586,2690.07,13.22,2721.3,-2.1249329328214883,-6.938118618690514
2018-05-28,2721.3,2723.6,2727.4,2715.0,-0.24,12.44,13.52,12.29,13.22,6869950678.130114,240697443496.9237,2018,5,28,0,False,18473597068.697372,2721.925745444827,2721.54,2685.922,2689.961,13.22,2721.3,-2.9716269776639215,11.251437200014713
2018-05-29,2689.9,2705.1,2710.7,2676.8,-1.15,14.39,18.78,14.39,17.02,7996657843.459035,242389253963.16962,2018,5,29,1,False,16991610163.780693,2715.520596355862,2721.145,2687.4559999999997,2689.538,13.22,2721.3,0.7028784525779708,16.40051316402744
2018-05-30,2724.0,2702.4,2729.3,2702.4,1.27,16.6,16.64,14.65,14.94,7947968758.078218,249153533023.73608,2018,5,30,2,False,12146452856.928892,2717.21647708469,2721.1899999999996,2688.798,2689.4559999999997,17.02,2689.9,2.7906678823287567,-0.6088679337536318
2018-05-31,2705.3,2721.0,2722.5,2700.7,-0.69,14.93,16.29,14.2,15.43,6962708376.919725,251685404404.9388,2018,5,31,3,False,6472795977.133767,2714.833181667752,2720.07,2690.06,2689.3459999999995,14.94,2724.0,1.0161892349973334,-12.396379643001065
2018-06-01,2734.6,2718.7,2736.9,2718.7,1.08,14.92,14.93,13.37,13.46,6634887951.583306,252419768937.54736,2018,6,1,4,False,5106448178.785683,2718.7865453342015,2720.415,2691.472,2689.679,15.43,2705.3,0.29177875226606975,-4.708231446588973
2018-06-02,2734.6,2718.7,2736.9,2718.7,1.08,14.92,14.93,13.37,13.46,7179149300.62811,259132342354.94516,2018,6,2,5,True,5796930934.678804,2721.9492362673614,2720.7599999999998,2693.038,2689.985,13.46,2734.6,2.659289898588968,8.203022462721844
2018-06-03,2734.6,2718.7,2736.9,2718.7,1.08,14.92,14.93,13.37,13.46,9378123959.357178,265020389611.23123,2018,6,3,6,True,7603375007.957074,2724.4793890138894,2720.9849999999997,2694.6040000000003,2689.8579999999997,13.46,2734.6,2.272216274810246,30.630017104347964
2018-06-04,2746.9,2741.7,2749.2,2740.5,0.45,13.91,13.91,12.69,12.74,8615222789.314127,250983028061.09354,2018,6,4,0,False,7561791467.32324,2728.963511211112,2722.7599999999998,2696.4159999999997,2689.8540000000003,13.46,2734.6,-5.2967100270019385,-8.134901749532252
2018-06-05,2748.8,2748.5,2752.6,2739.5,0.07,12.91,13.34,12.3,12.4,7292332418.011994,257299208752.62778,2018,6,5,1,False,7729333794.956659,2732.93080896889,2724.075,2697.836,2689.8689999999997,12.74,2746.9,2.5165768141090394,-15.355265947886764
2018-06-06,2772.3,2753.2,2772.4,2748.5,0.85,12.1,12.56,11.62,11.64,6121690548.881423,261649490168.52316,2018,6,6,2,False,6990134012.187335,2740.8046471751118,2726.6850000000004,2699.1540000000005,2689.796,12.4,2748.8,1.6907480738029834,-16.05305136994436
2018-06-07,2770.4,2774.8,2779.9,2760.2,-0.07,11.66,13.28,11.22,12.13,6071104984.684312,264122004137.6612,2018,6,7,3,False,6000379720.751199,2746.7237177400893,2729.555,2700.39,2690.0570000000002,11.64,2772.3,0.9449718275948316,-0.8263332455828665
2018-06-08,2779.0,2765.8,2779.4,2763.6,0.31,12.54,13.31,12.09,12.18,5539476184.07518,261021336267.98706,2018,6,8,4,False,5373999107.726075,2753.1789741920716,2732.855,2702.1079999999997,2690.7090000000003,12.13,2770.4,-1.1739528782532038,-8.756705771853424
