Date,Crypto_Volume,Crypto_Market_Cap
2018-08-01,8306441164.7447405,218762642905.35748
2018-08-02,7230294918.034217,218132790825.81393
2018-08-03,7267040837.794675,213573773418.73544
2018-08-04,6642981392.483224,211072472128.4624
2018-08-05,6378036297.150254,205562207583.666
2018-08-06,5872603666.533142,205354978658.84305
2018-08-07,6552126567.411041,203622297817.37915
2018-08-08,8305456594.974307,185159914909.84213
2018-08-09,8002791226.110521,183211825081.15292
2018-08-10,7763059525.428915,182582532125.64572
2018-08-11,7839720702.932888,172412494279.57425
2018-08-12,6926442412.057859,175110898649.14737
2018-08-13,6751569556.667422,174005104141.6012
2018-08-14,8331838148.055052,160423767418.90424
2018-08-15,8161809968.239442,170170359455.66986
2018-08-16,7570262966.909999,169820322582.38953
2018-08-17,7665971169.767763,174941130475.99664
2018-08-18,8465458603.868067,176717561308.6925
2018-08-19,6427999830.564307,174919639067.81894
2018-08-20,6429166730.608097,175206715019.67322
2018-08-21,6112557974.136404,171864801525.4941
2018-08-22,6401812483.3175,175818455518.74225
2018-08-23,6041934705.380761,171449993568.79617
2018-08-24,5696180695.600089,174324545828.96765
2018-08-25,6136736994.610341,177941078626.65866
2018-08-26,5162402215.680883,176268285314.32864
2018-08-27,5735200170.916582,178235830894.33026
2018-08-28,7089247935.189379,186135312104.2458
2018-08-29,7350540765.532307,188611329630.54715
2018-08-30,7068054079.735593,184473364247.37448
2018-08-31,6905472184.810411,185390801379.02502
2018-09-01,6926443812.448234,190344708691.24045
2018-09-02,7282869616.910979,192852133147.2892
2018-09-03,6337887932.598608,192471642825.9653
2018-09-04,6479975204.476199,193706958947.62296
2018-09-05,7429914143.283254,185764300515.99057
2018-09-06,9628565084.604467,166223664063.13727
2018-09-07,6554049787.684178,166824377888.9227
2018-09-08,5384221790.330679,163728625407.22565
2018-09-09,5999728074.646237,160038397836.49786
2018-09-10,5510853602.002354,159742360292.97333
2018-09-11,5494503466.04995,158531125818.16772
2018-09-12,5941721291.853755,156032201045.9435
2018-09-13,6616909112.814746,162607637595.79727
2018-09-14,7298733550.787677,165701950410.998
2018-09-15,5958278053.159465,166947299932.06824
2018-09-16,5217616826.445008,166239709430.0875
2018-09-17,5551150489.053266,163867941450.6496
2018-09-18,6791105364.543712,161227911395.7717
2018-09-19,6441415456.638525,164080986449.89514
2018-09-20,6810150448.674654,167053809874.69812
2018-09-21,11570463851.773146,181342435948.93463
2018-09-22,12619130418.091377,185545792334.40076
2018-09-23,7800461320.139933,187562648259.13644
2018-09-24,7594897201.16956,183757699291.74414
2018-09-25,8367981145.146535,173154254111.403
2018-09-26,8556065664.137691,176684653693.4144
2018-09-27,7678936071.741238,178987508289.23495
2018-09-28,8260694830.349059,182930802616.899
2018-09-29,7791433266.704403,181485736076.19925
2018-09-30,7224223712.49273,184120690702.91745
2018-10-01,7356815572.3945465,183629675719.83698
2018-10-02,6578965692.353785,182238822562.677
2018-10-03,6677851308.651819,177888364885.62878
2018-10-04,6042235306.385624,180636315520.49466
2018-10-05,5561353609.916098,180197540061.49863
2018-10-06,5174117034.368866,180121469430.43768
2018-10-07,4974316294.711423,178574215514.12625
2018-10-08,5782146415.484458,180833289625.30875
2018-10-09,5862433720.196108,181046160662.31677
2018-10-10,5536041345.986131,179111732503.3925
2018-10-11,7986554883.177335,167498869617.52448
2018-10-12,7648306888.146402,166626610136.19897
2018-10-13,5705386987.69621,167578360493.78262
2018-10-14,5086639669.9918585,168579310488.82462
2018-10-15,9608536454.34602,173768842770.6629
2018-10-16,8427156601.730461,174686941669.9355
2018-10-17,6544138736.452039,174434127287.1695
2018-10-18,6107131929.858688,173869694417.3257
2018-10-19,5901657408.283254,172500144316.5762
2018-10-20,5494412339.700578,172864718085.04468
2018-10-21,5017317382.887056,173788530216.53955
2018-10-22,5327769355.701003,172777792064.27463
2018-10-23,5765616915.392558,171714435518.47058
2018-10-24,5860231311.972788,172292446991.13156
2018-10-25,6140464707.344798,171286453580.48557
2018-10-26,5580502876.799415,171158418329.91852
2018-10-27,5235835080.320118,171226329352.6106
2018-10-28,5054375488.293232,171032781716.92023
2018-10-29,5611110922.712089,168718427304.48642
2018-10-30,6367936840.085393,166958437337.66998
2018-10-31,6018128147.00937,167268583612.1011
2018-11-01,6047799548.777403,168884849012.97308
2018-11-02,6273323361.639349,171194710845.49185
2018-11-03,6059626112.91684,170943623220.952
2018-11-04,6794527929.527372,172327867915.32114
2018-11-05,7866254638.513134,173715489099.35962
2018-11-06,8498086925.215034,176076591284.84064
2018-11-07,8921349610.956036,179602815295.63153
2018-11-08,8262399280.420622,177798666962.12408
2018-11-09,8027075581.97832,175424945245.70697
