Date,Volume,MarketCap,symbol
2018-10-29,59071176.69780946,1483709463.0118227,TRON
2018-10-30,60050240.769034006,1448293572.5697925,TRON
2018-10-31,47739860.11276574,1447389293.9402895,TRON
2018-11-01,51149203.43024305,1461834953.0563054,TRON
2018-11-02,53861558.413352594,1491906526.951167,TRON
2018-11-03,53190057.7781425,1494596963.853143,TRON
2018-11-04,62480690.60464405,1520642588.728037,TRON
2018-11-05,81531830.96910448,1545393090.1287866,TRON
2018-11-06,91787427.74262528,1580511246.7099397,TRON
2018-11-07,89009778.79305603,1589270537.358615,TRON
2018-11-08,91811174.3026712,1552482211.8685827,TRON
2018-11-09,69513333.58433713,1520264294.6471896,TRON
2018-11-10,50917038.70026919,1510805649.8965092,TRON
2018-11-11,45741488.83074224,1502556918.8728938,TRON
2018-11-12,50775780.67670828,1486325090.9819045,TRON
2018-11-13,68919865.39667195,1468056026.9854033,TRON
2018-11-14,91603523.04875408,1375817089.9217415,TRON
2018-11-15,121363787.83185254,1242610706.2015066,TRON
2018-11-16,76747090.29458278,1264477389.4293098,TRON
2018-11-17,57566977.92825608,1246310518.6974928,TRON
2018-11-18,55883836.92793886,1255660147.9458804,TRON
2018-11-19,67317661.30788518,1120672948.21741,TRON
2018-11-20,92521712.93828472,962463858.2094018,TRON
2018-11-21,89939041.35371785,940635674.3719214,TRON
2018-11-22,59743001.740349606,952761459.3892016,TRON
2018-11-23,52367068.65059128,895180526.5594468,TRON
2018-11-24,45846625.02873558,896209535.250007,TRON
2018-11-25,58103477.16978815,779683330.501857,TRON
2018-11-26,59567762.86193746,796502635.5126995,TRON
2018-11-27,47838785.439955525,765852037.0632887,TRON
2018-11-28,64250740.3424589,881905603.8793252,TRON
2018-11-29,142715428.84114096,1020942566.3256912,TRON
2018-11-30,124337676.21583468,964868499.268688,TRON
2018-12-01,70433683.09260248,981926728.438783,TRON
2018-12-02,56668697.3909159,995924428.2249688,TRON
2018-12-03,45974199.06811885,948348904.8530272,TRON
2018-12-04,55170519.37411385,951606317.1139672,TRON
2018-12-05,55909561.45008207,948712506.3312912,TRON
2018-12-06,56727394.93161306,918321280.2274932,TRON
2018-12-07,72187123.08469945,855223036.6211984,TRON
2018-12-08,61550772.869065255,880556342.2017072,TRON
2018-12-09,43682436.20238833,894429675.6566024,TRON
2018-12-10,40670446.66328618,879067019.3302155,TRON
2018-12-11,39794470.75968288,875686434.063018,TRON
2018-12-12,51747653.1872597,885122798.9204257,TRON
2018-12-13,56386117.58748871,881757026.2880087,TRON
2018-12-14,48897378.96072482,861142899.1442039,TRON
2018-12-15,34257524.474390455,847921950.7903064,TRON
2018-12-16,34650517.536694326,871343913.6369493,TRON
2018-12-17,37098712.5110034,897784822.8257428,TRON
2018-12-18,57455945.24581657,942134966.6882986,TRON
2018-12-19,104631952.4631571,1073352366.3320432,TRON
2018-12-20,127494041.1576602,1103544657.0094652,TRON
2018-12-21,195798302.39053705,1282686636.471088,TRON
2018-12-22,240610922.27384225,1334864216.0514576,TRON
2018-12-23,150209398.0083059,1395009599.4396334,TRON
2018-12-24,147160960.18679556,1465686973.1570482,TRON
2018-12-25,134615152.26887992,1296038241.409464,TRON
2018-12-26,112279331.71734469,1337213326.4869628,TRON
2018-12-27,88825105.82276358,1310765466.8453531,TRON
2018-12-28,99797784.41404112,1284315870.1948955,TRON
2018-12-29,100127287.58102156,1356904154.7110224,TRON
2018-12-30,78187805.0063772,1329926747.1236582,TRON
2018-12-31,61868610.23484404,1296378606.8654065,TRON
2019-01-01,59913163.32952412,1276874563.2313137,TRON
2019-01-02,74799679.9682318,1314658207.2923214,TRON
2019-01-03,90886856.45088544,1338114525.254735,TRON
2019-01-04,109890768.41790912,1372262734.331073,TRON
2019-01-05,194126064.2241983,1496230166.767197,TRON
2019-01-06,178850233.10618672,1520948043.7515974,TRON
2019-01-07,132109236.87275152,1556205081.2546682,TRON
2019-01-08,232231690.0307304,1683635987.81927,TRON
2019-01-09,256791205.99664575,1830330750.506415,TRON
2019-01-10,651557975.1464832,1867457825.0379565,TRON
2019-01-11,619379357.4779927,1733456125.5976765,TRON
2019-01-12,250040695.69634628,1584503004.55341,TRON
2019-01-13,150785892.81360105,1489526000.4214368,TRON
2019-01-14,309129233.92530924,1597250895.5350876,TRON
2019-01-15,309217011.41242504,1673869125.8372505,TRON
2019-01-16,173229057.3850872,1650495731.415395,TRON
2019-01-17,134959230.62770498,1656621537.9018052,TRON
2019-01-18,136145097.57618332,1670927129.3679717,TRON
2019-01-19,122918972.16689156,1638991903.1907482,TRON
2019-01-20,86496458.9330343,1615229416.5195882,TRON
2019-01-21,121812880.3863007,1642509743.7325766,TRON
2019-01-22,210859214.7289896,1736054504.075328,TRON
2019-01-23,165291957.60572037,1760309077.6934705,TRON
2019-01-24,140794111.23435864,1789107081.2246816,TRON
2019-01-25,114559399.0041334,1783895143.1357598,TRON
2019-01-26,129787918.27900392,1845520045.854097,TRON
2019-01-27,268202972.6524067,1954648459.125061,TRON
2019-01-28,338953186.34872115,1814602798.7817464,TRON
2019-01-29,293165822.8685168,1799678252.5933084,TRON
2019-01-30,186172011.9479201,1821042435.787709,TRON
2019-01-31,158394538.87900156,1754686957.6814823,TRON
2019-02-01,172673634.11499363,1713798535.53884,TRON
2019-02-02,111967609.68014476,1723440219.3377175,TRON
2019-02-03,90960079.48545992,1712553724.8161983,TRON
2019-02-04,167502626.84091946,1756464648.2465582,TRON
2019-02-05,198707818.39070085,1770137208.1032116,TRON
2019-02-06,132271430.2927772,1714612427.0153167,TRON
2019-02-07,92062375.77607796,1713695305.5845785,TRON
2019-02-08,88399326.89209762,1735007874.5806334,TRON
