Start,End,Open,High,Low,Close,Volume,Market Cap
2018-06-06,2018-06-07,0.060570953,0.060581385,0.058422865,0.058697074,164189714.74824876,3913648393.268249
2018-06-07,2018-06-08,0.058691384,0.060243686,0.058373179,0.058714882,146310296.93635678,3951596802.288363
2018-06-08,2018-06-09,0.058668724,0.058688603,0.056995738,0.05778125,137948669.96052864,3798478643.799133
2018-06-09,2018-06-10,0.057757649,0.059149573,0.057446417,0.057809691,143967762.13135907,3824709728.9501767
2018-06-10,2018-06-11,0.057827194,0.057827194,0.046121256,0.04783456,217185690.09947503,3473264598.401459
2018-06-11,2018-06-12,0.048225618,0.048942256,0.045774138,0.048337446,309075752.90213,3110644301.925484
2018-06-12,2018-06-13,0.048249842,0.048360979,0.042856879,0.043871244,193436702.0960016,3066522319.4737663
2018-06-13,2018-06-14,0.043703533,0.044134077,0.039416551,0.041176698,195726272.88586605,2755476230.868844
2018-06-14,2018-06-15,0.041254836,0.045518998,0.040283482,0.045381394,238587831.6022073,2834095040.122083
2018-06-15,2018-06-16,0.045236931,0.045965829,0.04291368,0.043214697,222804391.8504251,2929113681.895229
2018-06-16,2018-06-17,0.043199823,0.043387815,0.041994216,0.043213938,130435003.81978518,2817140507.454324
2018-06-17,2018-06-18,0.043247161,0.043475627,0.042526275,0.04266055,98118356.421538,2830849776.1116047
2018-06-18,2018-06-19,0.042620072,0.045471797,0.041405461,0.045134102,106845613.34882754,2813132644.3378096
2018-06-19,2018-06-20,0.045093142,0.050849621,0.044855263,0.049291293,235034989.04197848,3102619365.5979304
2018-06-20,2018-06-21,0.049331677,0.049340417,0.04452579,0.049103494,386245893.45475125,3127303616.2119823
2018-06-21,2018-06-22,0.049206262,0.050127867,0.047486876,0.048509477,248151537.4522391,3197413442.5162387
2018-06-22,2018-06-23,0.048514416,0.049004788,0.042824163,0.043170881,196944376.0859224,2986023473.739741
2018-06-23,2018-06-24,0.04316053,0.0445328,0.042737362,0.04408338,188185872.64892265,2877442278.0655947
2018-06-24,2018-06-25,0.044114345,0.044235583,0.038864677,0.042322513,175911763.87480175,2739859486.6716194
2018-06-25,2018-06-26,0.042321807,0.042860823,0.041173122,0.042230684,181277682.30258092,2758932304.21638
2018-06-26,2018-06-27,0.042225793,0.042320089,0.038394706,0.038427628,100457783.751934,2666401207.7156343
2018-06-27,2018-06-28,0.038400991,0.039594164,0.037825574,0.038948551,92768769.73846124,2541042993.783755
2018-06-28,2018-06-29,0.038915203,0.039552013,0.036715638,0.036946923,77964297.98382159,2537588538.0671945
2018-06-29,2018-06-30,0.036891161,0.037243718,0.034626275,0.036331102,106144056.65993336,2348382026.773284
2018-06-30,2018-07-01,0.036330057,0.039443513,0.036330057,0.03811241,199976760.787144,2501542420.374152
2018-07-01,2018-07-02,0.03800694,0.038274991,0.036992946,0.037588169,137867178.0373743,2463047767.060874
2018-07-02,2018-07-03,0.037565629,0.040114819,0.037012537,0.039382538,125661550.08595112,2518204406.9223733
2018-07-03,2018-07-04,0.039624769,0.040557674,0.03868718,0.038798454,189341446.9199189,2597753757.826047
2018-07-04,2018-07-05,0.038743567,0.039785422,0.03770224,0.039206902,142527426.2314863,2550466571.621987
2018-07-05,2018-07-06,0.039220512,0.039545858,0.037286379,0.037804409,130417493.77117132,2532227062.475261
2018-07-06,2018-07-07,0.037772086,0.037884645,0.035864077,0.03702189,128599049.89442848,2428479996.4807267
2018-07-07,2018-07-08,0.036995311,0.037387157,0.036189652,0.037387157,107713234.86431605,2404573569.583678
2018-07-08,2018-07-09,0.037358942,0.037856878,0.036959693,0.037307183,94373653.84330866,2467231881.4806366
2018-07-09,2018-07-10,0.037321567,0.037326993,0.035837008,0.035837008,106580995.73177885,2407232590.9106503
2018-07-10,2018-07-11,0.035806566,0.035971199,0.033172495,0.033826023,148987826.15584415,2265061157.375495
2018-07-11,2018-07-12,0.033743064,0.034625464,0.03304952,0.033546953,151214569.36395067,2209052335.9312043
2018-07-12,2018-07-13,0.033571117,0.033604075,0.031646871,0.032220597,168360112.74442807,2136526785.88842
2018-07-13,2018-07-14,0.032209106,0.034336758,0.032209106,0.033191966,171248834.69055793,2189563147.938985
2018-07-14,2018-07-15,0.033303051,0.033653627,0.032729274,0.033432257,184728289.4064025,2181230741.275524
2018-07-15,2018-07-16,0.033356029,0.034892725,0.033195434,0.034443913,175742084.1569421,2246857131.4354115
2018-07-16,2018-07-17,0.034459205,0.037050695,0.034134707,0.037050695,210528148.77706933,2335614430.5439496
2018-07-17,2018-07-18,0.037151488,0.040420221,0.036108778,0.039733593,225144226.2538126,2457426290.8112845
2018-07-18,2018-07-19,0.039662369,0.042874116,0.039087258,0.039557934,270906681.31998414,2633702705.415106
2018-07-19,2018-07-20,0.039426703,0.039426703,0.037478883,0.037800886,293206508.68541634,2507999531.624652
2018-07-20,2018-07-21,0.037821042,0.037821042,0.034690309,0.034931588,249179877.6974349,2373767713.832954
2018-07-21,2018-07-22,0.034886978,0.036237389,0.034062801,0.035655554,215857765.1266901,2328343367.99534
2018-07-22,2018-07-23,0.035665206,0.036277168,0.035099911,0.035121002,199285074.4234348,2351418743.9723363
2018-07-23,2018-07-24,0.035087998,0.035913448,0.034148514,0.034184278,192083040.37997472,2302367604.8687463
2018-07-24,2018-07-25,0.034177234,0.038729827,0.032784009,0.03781057,262714277.75570217,2362402075.584333
2018-07-25,2018-07-26,0.037735928,0.039111746,0.036406991,0.037178307,295617477.58020544,2462590663.4049253
2018-07-26,2018-07-27,0.037096869,0.038538339,0.035513597,0.03600205,185764078.9171744,2469015455.93474
2018-07-27,2018-07-28,0.035921122,0.037082708,0.03516716,0.036511372,205612980.88487852,2381707577.816185
2018-07-28,2018-07-29,0.036493472,0.036871556,0.035905654,0.036833137,195326163.9566628,2397364704.07416
2018-07-29,2018-07-30,0.036920805,0.040634136,0.036804136,0.039194032,222340075.2909414,2506468234.535472
2018-07-30,2018-07-31,0.039136975,0.039389405,0.035369237,0.036470344,296607409.9279282,2423557533.017224
2018-07-31,2018-08-01,0.036448846,0.036448846,0.033436609,0.033941539,216099839.69273683,2274615883.9396186
2018-08-01,2018-08-02,0.033885782,0.033978381,0.031610598,0.032561466,160516148.93352678,2165203792.4603124
2018-08-02,2018-08-03,0.032521063,0.033154425,0.030949888,0.031476865,129126395.0523114,2099053844.4187613
2018-08-03,2018-08-04,0.031509487,0.031610123,0.029495251,0.03055693,147037506.5479119,2003533351.2301888
2018-08-04,2018-08-05,0.030570566,0.031166611,0.028515503,0.028865888,128420565.49713466,1964562354.9347243
2018-08-05,2018-08-06,0.028875026,0.030610467,0.028271193,0.030324782,117271669.95552692,1933898408.2488568
2018-08-06,2018-08-07,0.030347777,0.031002268,0.028892041,0.029206635,114645352.60920943,1953586322.446282
2018-08-07,2018-08-08,0.029228184,0.030001138,0.027628654,0.02784337,107226396.94639748,1918464533.1434777
2018-08-08,2018-08-09,0.027832075,0.027832075,0.023821403,0.02442999,124124037.47408968,1671961954.0025387
