Sno,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
16362,IOTA,MIOTA,2019-06-12 23:59:00,0.445026373,0.42130283,0.426213275,0.436866951,41541893.86,1214284919.0
16363,IOTA,MIOTA,2019-06-13 23:59:00,0.450596967,0.431567071,0.436652852,0.439972691,45121260.68,1222917419.0
16364,IOTA,MIOTA,2019-06-14 23:59:00,0.441864859,0.41808833,0.440060957,0.433028257,46301466.41,1203615155.0
16365,IOTA,MIOTA,2019-06-15 23:59:00,0.442003174,0.427717549,0.433004641,0.436594343,36960890.2,1213527197.0
16366,IOTA,MIOTA,2019-06-16 23:59:00,0.463761685,0.433922843,0.436761532,0.446915453,44074222.82,1242215036.0
16367,IOTA,MIOTA,2019-06-17 23:59:00,0.453140351,0.428843355,0.44681469,0.43954335,44679414.47,1221724052.0
16368,IOTA,MIOTA,2019-06-18 23:59:00,0.44066016,0.429101253,0.439191971,0.430587179,27048869.9,1196830104.0
16369,IOTA,MIOTA,2019-06-19 23:59:00,0.445252814,0.429403594,0.430664729,0.43674153,34396918.04,1213936308.0
16370,IOTA,MIOTA,2019-06-20 23:59:00,0.438478078,0.409029508,0.436853916,0.41767098,40095654.1,1160929137.0
16371,IOTA,MIOTA,2019-06-21 23:59:00,0.438199779,0.417538727,0.417717637,0.425861248,24938582.95,1183694235.0
16372,IOTA,MIOTA,2019-06-22 23:59:00,0.474489187,0.423566268,0.42633455,0.46238763,42165653.86,1285220420.0
16373,IOTA,MIOTA,2019-06-23 23:59:00,0.476624661,0.447881752,0.462658168,0.44934991,27811656.12,1248981683.0
16374,IOTA,MIOTA,2019-06-24 23:59:00,0.460481077,0.439410627,0.44934991,0.457455469,20955304.43,1271511330.0
16375,IOTA,MIOTA,2019-06-25 23:59:00,0.460035075,0.442580114,0.457524164,0.449602325,27667725.96,1249683277.0
16376,IOTA,MIOTA,2019-06-26 23:59:00,0.486716551,0.430825488,0.449602325,0.445464004,53873334.3,1238180690.0
16377,IOTA,MIOTA,2019-06-27 23:59:00,0.450257746,0.376838839,0.445821212,0.398816911,31939974.31,1108523683.0
16378,IOTA,MIOTA,2019-06-28 23:59:00,0.425226586,0.385954336,0.399639924,0.417678299,23838329.52,1160949480.0
16379,IOTA,MIOTA,2019-06-29 23:59:00,0.42775978,0.400403086,0.417942565,0.426206919,22812168.1,1184655039.0
16380,IOTA,MIOTA,2019-06-30 23:59:00,0.427930475,0.390721782,0.425963451,0.392130824,19381112.03,1089939501.0
16381,IOTA,MIOTA,2019-07-01 23:59:00,0.409563508,0.383063043,0.392236008,0.40553588,20419884.72,1127199259.0
16382,IOTA,MIOTA,2019-07-02 23:59:00,0.408226155,0.381424339,0.405277006,0.400596057,21752092.97,1113468872.0
16383,IOTA,MIOTA,2019-07-03 23:59:00,0.409500335,0.394697868,0.400407854,0.406848689,18949050.97,1130848253.0
16384,IOTA,MIOTA,2019-07-04 23:59:00,0.408008901,0.386799451,0.406859955,0.38899436,19678259.52,1081221603.0
16385,IOTA,MIOTA,2019-07-05 23:59:00,0.393932845,0.382180791,0.389251297,0.384788164,19902887.29,1069530355.0
16386,IOTA,MIOTA,2019-07-06 23:59:00,0.399663887,0.383806381,0.385035481,0.389644238,22789049.33,1083027960.0
16387,IOTA,MIOTA,2019-07-07 23:59:00,0.398270979,0.389018786,0.38952509,0.39753911,21000779.44,1104971994.0
16388,IOTA,MIOTA,2019-07-08 23:59:00,0.413180953,0.396856412,0.39755324,0.405674971,17663864.69,1127585867.0
16389,IOTA,MIOTA,2019-07-09 23:59:00,0.409095005,0.392808842,0.405734868,0.396264409,16504676.87,1101428926.0
16390,IOTA,MIOTA,2019-07-10 23:59:00,0.399855568,0.35658387,0.396428999,0.367764227,21114432.8,1022211807.0
16391,IOTA,MIOTA,2019-07-11 23:59:00,0.368717197,0.333042415,0.367763374,0.34319326,19317957.91,953916059.2
16392,IOTA,MIOTA,2019-07-12 23:59:00,0.361265756,0.337469576,0.344094005,0.356001794,16780280.75,989517767.6
16393,IOTA,MIOTA,2019-07-13 23:59:00,0.356227125,0.336225239,0.356133267,0.34542782,14567956.12,960127086.5
16394,IOTA,MIOTA,2019-07-14 23:59:00,0.346312914,0.304398057,0.345707539,0.306648434,12889671.29,852338607.3
16395,IOTA,MIOTA,2019-07-15 23:59:00,0.311568396,0.28721275,0.306582979,0.310943293,16569156.96,864276300.0
16396,IOTA,MIOTA,2019-07-16 23:59:00,0.311264492,0.258600205,0.310831494,0.269688767,20601773.86,749608095.4
16397,IOTA,MIOTA,2019-07-17 23:59:00,0.297239263,0.263093023,0.269214445,0.287074167,16008026.23,797931340.6
16398,IOTA,MIOTA,2019-07-18 23:59:00,0.310871974,0.276314886,0.286849834,0.306740836,15319574.49,852595442.1
16399,IOTA,MIOTA,2019-07-19 23:59:00,0.309550543,0.295406502,0.306740836,0.304243391,12420072.24,845653717.5
16400,IOTA,MIOTA,2019-07-20 23:59:00,0.33496869,0.301190111,0.304166583,0.320470989,17263858.24,890758819.4
16401,IOTA,MIOTA,2019-07-21 23:59:00,0.325364311,0.309537626,0.320454504,0.316171198,10446490.16,878807420.8
16402,IOTA,MIOTA,2019-07-22 23:59:00,0.317062799,0.296736599,0.316132056,0.300997218,14068367.93,836630881.6
16403,IOTA,MIOTA,2019-07-23 23:59:00,0.303881283,0.287039812,0.301050828,0.293838098,13302732.91,816731891.3
16404,IOTA,MIOTA,2019-07-24 23:59:00,0.311800847,0.28669591,0.293838098,0.311276667,14237039.78,865202921.7
16405,IOTA,MIOTA,2019-07-25 23:59:00,0.315616186,0.302468414,0.311165328,0.30455325,12612759.5,846514982.2
16406,IOTA,MIOTA,2019-07-26 23:59:00,0.306166961,0.297166437,0.304592674,0.301611876,11865963.77,838339342.1
16407,IOTA,MIOTA,2019-07-27 23:59:00,0.307211322,0.284024818,0.301611876,0.287609717,10599572.14,799419917.5
16408,IOTA,MIOTA,2019-07-28 23:59:00,0.291587721,0.271700841,0.28786215,0.284293089,9928978.288,790201249.8
16409,IOTA,MIOTA,2019-07-29 23:59:00,0.288941713,0.280218312,0.284294425,0.284212223,8466909.505,789976479.4
16410,IOTA,MIOTA,2019-07-30 23:59:00,0.287799431,0.278102694,0.284213979,0.28580371,8292758.357,794400067.1
16411,IOTA,MIOTA,2019-07-31 23:59:00,0.296345426,0.285758171,0.285901352,0.290152893,11321806.45,806488753.9
