Date,Total_Volume,Total_Market_Cap
2021-05-29,112527170499.33,1176175082059.0
2021-05-30,86056918766.53,1225061030094.0
2021-05-31,103622507253.07,1325090433650.0
2021-06-01,96057598729.52,1306349787725.0
2021-06-02,97348061085.4,1351126276872.0
2021-06-03,97591727084.0,1409686132671.0
2021-06-04,111558458322.70001,1321308999179.0
2021-06-05,92617764230.3,1282300680909.0
2021-06-06,71000798600.22,1301872569179.0
2021-06-07,87657926171.4,1216129545882.0
2021-06-08,125488653906.8,1207783200381.0
2021-06-09,118754598489.2,1304478313047.0
2021-06-10,94255951278.97,1260307692105.0
2021-06-11,83095590900.29001,1245619254444.0
2021-06-12,82678229640.74,1213513755787.0
2021-06-13,86424730225.11,1311855504134.0
2021-06-14,88675301588.52,1339079020222.0
2021-06-15,97936736084.61,1358400814412.0
2021-06-16,81223680013.97,1269525785032.0
2021-06-17,74028668693.57,1267293978162.0
2021-06-18,75832111222.48,1194480853593.0
2021-06-19,62767714928.7,1177382950567.0
2021-06-20,76535382916.15,1190877848907.0
2021-06-21,116468091535.0,1015128863058.0
2021-06-22,131987581637.3,1022515797075.0
2021-06-23,104516179630.5,1083176376000.0
2021-06-24,74565119233.5,1115449923317.0
2021-06-25,87569554915.34,1016829689529.0
2021-06-26,77608185900.55,1030111035267.0
2021-06-27,70739833351.78,1105254730246.0
2021-06-28,75183642842.76,1114232824077.0
2021-06-29,82103857909.86,1160972866252.0
2021-06-30,78300344752.45,1160638817789.0
2021-07-01,82615288160.09,1101406635469.0
2021-07-02,83651475155.73,1114784797308.0
2021-07-03,53376931415.85,1142933817274.0
2021-07-04,56242952670.24,1173409039834.0
2021-07-05,60562187185.49,1120498416260.0
2021-07-06,62328624110.590004,1152534360779.0
